altitude,geo_altitude,height,horizontal_accuracy,location.lat,location.lon,pressure,speed_accuracy,time,velocity.x,velocity.y,velocity.z,vertical_accuracy
60.54,94.70845921450153,65.75,1.0,60.130279541015625,24.514856338500977,1005.9996662349971,,2026-01-27T15:33:36Z,-4.2,2.6,0.0,1.0
59.98,94.54061765693187,65.19,1.0,60.13030242919922,24.514780044555664,1006.0664192355445,,2026-01-27T15:33:37Z,-4.2,2.6,0.0,1.0
60.87,94.54061765693187,66.08,1.0,60.13032150268555,24.514720916748047,1005.9596144346688,,2026-01-27T15:33:38Z,-2.4000000000000004,1.4000000000000001,0.0,1.0
60.87,94.54061765693187,66.08,1.0,60.13033676147461,24.51468849182129,1005.9596144346688,,2026-01-27T15:33:39Z,-1.4000000000000001,0.8,0.0,1.0
60.54,94.54061765693187,65.75,1.0,60.13033676147461,24.514671325683594,1005.9996662349971,,2026-01-27T15:33:40Z,-0.6000000000000001,0.4,0.0,1.0
60.98,94.54061765693187,66.19,1.0,60.130340576171875,24.514665603637695,1005.9462638345592,,2026-01-27T15:33:41Z,0.0,0.0,0.0,1.0
61.32,94.37277609936223,66.53,1.0,60.130340576171875,24.51466178894043,1005.9062120342309,,2026-01-27T15:33:42Z,-0.2,0.0,0.0,1.0
60.98,94.37277609936223,66.19,1.0,60.130340576171875,24.514633178710938,1005.9462638345592,,2026-01-27T15:33:43Z,-2.4000000000000004,0.6000000000000001,0.0,1.0
60.65,94.37277609936223,65.86,1.0,60.13035583496094,24.514562606811523,1005.9863156348877,,2026-01-27T15:33:44Z,-4.6000000000000005,1.2000000000000002,0.0,1.0
60.2,94.37277609936223,65.41,1.0,60.130367279052734,24.514476776123047,1006.0397180353256,,2026-01-27T15:33:45Z,-4.800000000000001,1.2000000000000002,0.0,1.0
60.54,94.37277609936223,65.75,1.0,60.130374908447266,24.51439094543457,1005.9996662349971,,2026-01-27T15:33:46Z,-4.800000000000001,1.2000000000000002,0.0,1.0
60.54,94.37277609936223,65.75,1.0,60.13038635253906,24.51430320739746,1005.9996662349971,,2026-01-27T15:33:47Z,-4.800000000000001,1.2000000000000002,0.0,1.0
60.43,94.37277609936223,65.64,1.0,60.130401611328125,24.51421356201172,1006.0130168351067,,2026-01-27T15:33:48Z,-4.800000000000001,1.2000000000000002,0.0,1.0
60.2,94.37277609936223,65.41,1.0,60.13040542602539,24.514127731323242,1006.0397180353256,,2026-01-27T15:33:49Z,-4.800000000000001,1.2000000000000002,0.0,1.0
60.2,94.20493454179257,65.41,1.0,60.13042068481445,24.514041900634766,1006.0397180353256,,2026-01-27T15:33:50Z,-4.800000000000001,1.2000000000000002,0.0,1.0
60.31,94.20493454179257,65.52,1.0,60.13043212890625,24.513954162597656,1006.0263674352161,,2026-01-27T15:33:51Z,-4.800000000000001,1.2000000000000002,0.0,1.0
60.54,94.20493454179257,65.75,1.0,60.13044357299805,24.513866424560547,1005.9996662349971,,2026-01-27T15:33:52Z,-4.800000000000001,1.2000000000000002,0.0,1.0
60.43,94.20493454179257,65.64,1.0,60.13045120239258,24.513778686523438,1006.0130168351067,,2026-01-27T15:33:53Z,-4.800000000000001,1.2000000000000002,0.0,1.0
60.2,94.03709298422291,65.41,1.0,60.130462646484375,24.51369285583496,1006.0397180353256,,2026-01-27T15:33:54Z,-4.800000000000001,1.2000000000000002,0.0,1.0
60.31,94.03709298422291,65.52,1.0,60.13047790527344,24.51360511779785,1006.0263674352161,,2026-01-27T15:33:55Z,-4.800000000000001,1.2000000000000002,0.0,1.0
60.31,93.86925142665326,65.52,1.0,60.130489349365234,24.513519287109375,1006.0263674352161,,2026-01-27T15:33:56Z,-4.800000000000001,1.2000000000000002,0.0,1.0
60.2,93.86925142665326,65.41,1.0,60.130496978759766,24.513429641723633,1006.0397180353256,,2026-01-27T15:33:57Z,-4.800000000000001,1.2000000000000002,0.0,1.0
60.09,93.86925142665326,65.3,1.0,60.13050842285156,24.513343811035156,1006.053068635435,,2026-01-27T15:33:58Z,-4.800000000000001,1.2000000000000002,0.0,1.0
60.54,93.86925142665326,65.75,1.0,60.13051986694336,24.513256072998047,1005.9996662349971,,2026-01-27T15:33:59Z,-4.800000000000001,1.2000000000000002,0.0,1.0
61.21,93.86925142665326,66.42,1.0,60.13053512573242,24.51317024230957,1005.9195626343403,,2026-01-27T15:34:00Z,-4.800000000000001,1.2000000000000002,0.0,1.0
61.43,93.86925142665326,66.64,1.0,60.13053894042969,24.51308250427246,1005.8928614341213,,2026-01-27T15:34:01Z,-4.800000000000001,1.2000000000000002,0.0,1.0
61.43,93.86925142665326,66.64,1.0,60.13055419921875,24.51299476623535,1005.8928614341213,,2026-01-27T15:34:02Z,-4.800000000000001,1.2000000000000002,0.0,1.0
60.98,93.86925142665326,66.19,1.0,60.13056564331055,24.512907028198242,1005.9462638345592,,2026-01-27T15:34:03Z,-4.800000000000001,1.0,0.0,1.0
